PCA,CLUSTERING,K,DISTANCE/WSS,TRAIN_TIME,TEST_TIME,PRECISION,RECALL,ACCURACY
139,kmcuda,2,55.304805755615234,1.7445228099822998,931.8583908081055,10.367659871057676,16.317247349657176,47.77835859905907
139,kmcuda,3,54.3792610168457,2.3214352130889893,671.3022921085358,10.367659871057676,16.672384990471762,46.9245513155602
139,kmcuda,4,53.579185485839844,2.066014051437378,545.8879261016846,10.83812510890399,19.06686220983137,51.298135563687055
139,kmcuda,5,52.89091873168945,2.6496434211730957,444.319607257843,11.029796131730267,18.46580207270223,49.59052099668932
139,kmcuda,6,52.2571907043457,3.2731683254241943,349.5818383693695,10.489632340128942,18.747382846964655,50.14810942672939
139,kmcuda,7,51.946414947509766,2.707350254058838,327.56729388237,12.650287506534239,19.44409871749129,51.22843700993205
139,kmcuda,8,51.255226135253906,3.3732755184173584,289.7570812702179,13.486670151594355,21.248516831370985,54.591392228611255
139,kmcuda,9,51.043418884277344,2.794064998626709,260.52389669418335,12.894232444676772,21.0407211034498,54.38229656734622
139,kmcuda,10,50.78146743774414,3.0839948654174805,232.40340304374695,13.643491897543125,21.460945300464378,54.60881686705002
139,kmcuda,11,50.61101150512695,3.05873966217041,220.2168848514557,13.765464366614394,22.352146411215934,56.29900679560899
139,kmcuda,12,50.36347198486328,3.02348256111145,198.1749346256256,14.601847011674508,22.012967526558747,55.44519951211012
139,kmcuda,13,50.14246368408203,3.388745069503784,178.73780846595764,15.054887611082071,22.170978573226353,55.89824011151768
139,kmcuda,14,49.94041061401367,3.7940821647644043,166.8122103214264,14.776093396062032,22.514610421040114,56.490677818435266
139,kmcuda,15,49.80512619018555,3.899479627609253,159.7157928943634,15.368531102979613,22.782292971785914,56.56037637219028
139,kmcuda,16,49.684078216552734,3.6250321865081787,152.73498010635376,15.612476041122147,23.078484167088455,57.04826624847534
139,kmcuda,17,49.54644012451172,3.9611008167266846,147.52190494537354,15.403380379857118,22.944272963875683,56.943718417842824
139,kmcuda,18,49.511962890625,3.77762508392334,133.43070197105408,16.3617354939885,22.83160746438321,56.75204739501656
139,kmcuda,19,49.40425491333008,3.49532151222229,123.24864459037781,16.3617354939885,22.804661505654707,56.38612998780276
139,kmcuda,20,49.27397155761719,3.7346150875091553,122.95379781723022,16.65795434744729,22.50820755786778,55.758843004007666
139,kmcuda,21,49.14417266845703,3.415046453475952,115.29888558387756,16.257187663355985,22.617567907688134,56.14218504966022
139,kmcuda,22,49.0638542175293,3.4478302001953125,110.79014325141907,16.466283324621013,22.613142602687823,56.05506185746646
139,kmcuda,23,48.966896057128906,3.748389959335327,104.84724402427673,16.431434047743508,23.282518385759367,57.553580763199164
139,kmcuda,24,48.89163589477539,3.487548351287842,100.2408516407013,16.15263983272347,23.217196735231234,57.03084161003659
139,kmcuda,25,48.78144073486328,3.655963182449341,96.57251286506653,17.250392054364873,23.215730852949886,57.34448510193414
139,kmcuda,26,48.653656005859375,3.823899269104004,95.0468761920929,17.285241331242375,23.132258537381382,56.99599233315909
139,kmcuda,27,48.613346099853516,3.6679728031158447,92.67016077041626,17.058721031538596,23.269615855867816,57.4316082941279
139,kmcuda,28,48.55142593383789,3.4997918605804443,86.80621027946472,16.901899285589824,23.59460610636774,57.93692280885172
139,kmcuda,29,48.47456741333008,3.5835659503936768,84.28574848175049,17.250392054364873,23.72570576700216,58.12859383167799
139,kmcuda,30,48.40336990356445,3.765392541885376,83.08706283569336,17.66858337689493,23.97971135948135,58.546785154208045
139,kmcuda,31,48.2847785949707,4.230478048324585,86.23751902580261,17.494336992507407,23.95388555608106,58.37253876982052
139,kmcuda,32,48.21554183959961,3.9889681339263916,80.24671626091003,17.912528315037463,23.942068608822396,58.25056630074926
139,kmcuda,33,48.15520477294922,3.577785015106201,76.83915066719055,17.23296741592612,23.952115434080927,58.058895277922986
139,kmcuda,34,48.141746520996094,3.3062353134155273,74.67892837524414,17.372364523436136,23.94683964077587,57.919498170412965
139,kmcuda,35,48.033573150634766,3.6479074954986572,75.17399406433105,17.250392054364873,23.825530967454647,57.4664575710054
139,kmcuda,36,47.98358917236328,3.6203255653381348,76.25033020973206,17.494336992507407,24.08564901246553,58.041470639484224
139,kmcuda,37,47.92216873168945,3.738198757171631,70.33344793319702,17.511761630946157,23.970217697347856,58.07631991636174
139,kmcuda,38,47.85912322998047,3.78442120552063,74.23387026786804,17.66858337689493,24.02510530842993,57.76267642446419
139,kmcuda,39,47.80223846435547,3.689281940460205,70.41126990318298,17.476912354068652,24.214902491170132,58.44223732357554
139,kmcuda,40,47.80409240722656,3.4032702445983887,68.1385600566864,17.738281930649936,24.202062192130153,58.82557936922809
139,kmcuda,41,47.753387451171875,3.382617712020874,68.6863739490509,17.947377591914968,24.58382772287634,59.121798222686884
139,kmcuda,42,47.65076446533203,3.614346981048584,69.92982006072998,18.69663704478132,24.356546823875625,58.651332984840565
139,kmcuda,43,47.61177062988281,3.606790781021118,68.90894031524658,18.5572399372713,24.434390704646844,58.99982575361561
139,kmcuda,44,47.55994415283203,3.6193673610687256,66.75101399421692,18.40041819132253,24.392419452534455,58.86042864610559
139,kmcuda,45,47.51380920410156,3.6599068641662598,62.648338317871094,18.33071963756752,24.47528328866541,58.63390834640181
139,kmcuda,46,47.463016510009766,3.378993034362793,59.28513956069946,18.417842829761284,24.39933399159745,58.84300400766684
139,kmcuda,47,47.423763275146484,3.3560245037078857,55.42771577835083,18.522390660393796,24.446394344460206,59.13922286112563
139,kmcuda,48,47.36545181274414,3.4966652393341064,53.57642912864685,18.574664575710052,25.003104628039285,60.23697508276703
139,kmcuda,49,47.331398010253906,3.2535111904144287,54.677117347717285,19.04512981355637,24.65343638762353,59.66196201428821
139,kmcuda,50,47.29306411743164,3.2298951148986816,52.98550820350647,19.027705175117614,24.703387017814617,59.853633037114484
139,kmcuda,51,47.241519927978516,3.584319829940796,50.878419160842896,18.609513852587558,24.607261095760833,59.627112737410705
139,kmcuda,52,47.201663970947266,3.6363489627838135,50.52357316017151,19.010280536678863,24.81420633537727,59.278619968635645
139,kmcuda,53,47.17976379394531,3.35595965385437,50.093881607055664,18.783760236975084,24.625716000519972,59.609688098971944
139,kmcuda,54,47.12308120727539,3.5554184913635254,49.41123938560486,18.81860951385259,24.624872426754287,59.19149677644189
